기초지자체명,중분류,소비액(천원),전년동기 소비액
수원시 장안구,관광총소비,6.18519993E8,5.32407897E8
수원시 권선구,관광총소비,1.036026161E9,1.100363025E9
수원시 팔달구,관광총소비,1.323589729E9,1.345030919E9
수원시 영통구,관광총소비,1.026842104E9,1.06910941E9
성남시 수정구,관광총소비,6.37490134E8,6.45688098E8
성남시 중원구,관광총소비,4.48999691E8,4.68056176E8
성남시 분당구,관광총소비,2.631677498E9,2.600125962E9
의정부시,관광총소비,9.93704064E8,1.032807787E9
안양시 만안구,관광총소비,4.23367135E8,4.26070144E8
안양시 동안구,관광총소비,1.215669245E9,1.223157246E9
부천시 원미구,관광총소비,1.223722709E9,1.075070947E9
부천시 소사구,관광총소비,5.36671985E8,8.28896888E8
부천시 오정구,관광총소비,3.86321038E8,5.79216524E8
광명시,관광총소비,6.08392364E8,6.13655269E8
평택시,관광총소비,1.276410702E9,1.347094017E9
동두천시,관광총소비,1.29598549E8,1.41357324E8
안산시 상록구,관광총소비,5.340802E8,5.68166952E8
안산시 단원구,관광총소비,1.13003156E9,1.149474902E9
고양시 덕양구,관광총소비,1.648693022E9,1.636314009E9
고양시 일산동구,관광총소비,1.230868114E9,1.286125424E9
고양시 일산서구,관광총소비,8.3482567E8,8.27067133E8
과천시,관광총소비,1.83579514E8,1.71758533E8
구리시,관광총소비,6.57624515E8,6.61316561E8
남양주시,관광총소비,1.483606946E9,1.485724195E9
오산시,관광총소비,5.3676977E8,5.14517795E8
시흥시,관광총소비,1.330808476E9,1.399755638E9
군포시,관광총소비,3.83692772E8,3.88116666E8
의왕시,관광총소비,6.00971811E8,6.25017842E8
하남시,관광총소비,1.514869887E9,1.555036706E9
용인시 처인구,관광총소비,1.177553638E9,1.166203619E9
용인시 기흥구,관광총소비,1.527492787E9,1.529371256E9
용인시 수지구,관광총소비,9.79105083E8,9.99365956E8
파주시,관광총소비,1.335451461E9,1.399765133E9
이천시,관광총소비,9.47855792E8,1.0022617E9
안성시,관광총소비,1.074177998E9,1.110322313E9
김포시,관광총소비,1.412772703E9,1.391426788E9
화성시,관광총소비,2.084548636E9,2.120064915E9
광주시,관광총소비,8.30167596E8,8.31338951E8
양주시,관광총소비,6.45266389E8,6.3018829E8
포천시,관광총소비,7.19648042E8,7.4277825E8
여주시,관광총소비,1.11327791E9,1.119933684E9
연천군,관광총소비,9.3909224E7,9.2535334E7
가평군,관광총소비,4.69395898E8,4.99963048E8
양평군,관광총소비,3.88289282E8,3.89399189E8
