기초지자체,중분류,소비액(천원)
경기도,관광총소비,4176119.0
경기도,관광총소비,1.0648267E7
경기도,관광총소비,4.3995902E7
경기도,관광총소비,3.943346E7
경기도,관광총소비,9988759.0
경기도,관광총소비,3.2335834E7
경기도,관광총소비,1.59900205E8
경기도,관광총소비,1.1232759E7
경기도,관광총소비,2625119.0
경기도,관광총소비,1.5151988E7
경기도,관광총소비,4.7115332E7
경기도,관광총소비,3233006.0
경기도,관광총소비,911070.0
경기도,관광총소비,6019111.0
경기도,관광총소비,1.28007039E8
경기도,관광총소비,2.6928729E7
경기도,관광총소비,8641263.0
경기도,관광총소비,1.097321E7
경기도,관광총소비,3.9482643E7
경기도,관광총소비,1.7959171E7
경기도,관광총소비,1.366383E7
경기도,관광총소비,2169741.0
경기도,관광총소비,4436651.0
경기도,관광총소비,1.6064586E7
경기도,관광총소비,4914697.0
경기도,관광총소비,1.2520576E7
경기도,관광총소비,5072617.0
경기도,관광총소비,1.166909E7
경기도,관광총소비,1.0571895E7
경기도,관광총소비,1.5729656E7
경기도,관광총소비,2.3702027E7
경기도,관광총소비,1.0908998E7
경기도,관광총소비,3.749243E7
경기도,관광총소비,6575894.0
경기도,관광총소비,1.5956176E7
경기도,관광총소비,3.816661E7
경기도,관광총소비,3.4358363E7
경기도,관광총소비,5521424.0
경기도,관광총소비,5555563.0
경기도,관광총소비,5241263.0
경기도,관광총소비,3.4829538E7
경기도,관광총소비,485517.0
경기도,관광총소비,7725919.0
경기도,관광총소비,2394775.0
