시군구명,시도명,관광지명,구분,방문자수
파주시,경기도,파주 임진각(평화누리공원),역사관광지,48669
파주시,경기도,마장호수,자연관광지,28505
파주시,경기도,헤이리 예술마을,체험관광지,24254
파주시,경기도,벽초지수목원,자연관광지,12037
파주시,경기도,감악산 출렁다리,건축/조형물,11172
파주시,경기도,퍼스트가든,자연관광지,9883
파주시,경기도,콩치노콩크리트,문화시설,7225
파주시,경기도,마장호수 출렁다리,건축/조형물,6526
파주시,경기도,판문점,역사관광지,6290
파주시,경기도,임진강 황포돛배,휴양관광지,5770
파주시,경기도,오두산 통일전망대,건축/조형물,5623
파주시,경기도,미메시스 아트 뮤지엄,문화시설,5452
파주시,경기도,금촌장 (1_ 6일),쇼핑,5024
파주시,경기도,제3땅굴,역사관광지,4774
파주시,경기도,도라전망대,건축/조형물,4349
파주시,경기도,자유로자동차극장,문화시설,4252
파주시,경기도,마장호수휴캠핑장,육상 레포츠,3816
파주시,경기도,퇴골계곡,자연관광지,3455
파주시,경기도,황희정승묘,역사관광지,3394
파주시,경기도,조인폴리아,쇼핑,3352
파주시,경기도,캠프 그리브스,역사관광지,3017
파주시,경기도,한국근현대사박물관,문화시설,2672
파주시,경기도,임진강 독개다리,역사관광지,2397
파주시,경기도,프로방스 마을,체험관광지,2356
파주시,경기도,파주CC,육상 레포츠,2267
파주시,경기도,파주 율곡습지공원,자연관광지,2214
파주시,경기도,하니랜드,휴양관광지,2048
파주시,경기도,율곡수목원,자연관광지,2027
파주시,경기도,키누카누 파주점,음식점,1976
파주시,경기도,서울액션스쿨 (마샬아트센터),육상 레포츠,1957
파주시,경기도,솔가람 아트홀,문화시설,1937
파주시,경기도,헤이리농원,체험관광지,1930
파주시,경기도,파평용연,역사관광지,1861
파주시,경기도,파주가야랜드,휴양관광지,1851
파주시,경기도,헤이리시네마,문화시설,1768
파주시,경기도,한반도생태평화 종합관광센터,자연관광지,1689
파주시,경기도,국립민속박물관 파주,문화시설,1655
파주시,경기도,파주이이유적,역사관광지,1629
파주시,경기도,모산목장,체험관광지,1592
파주시,경기도,통일촌장단콩마을,음식점,1569
파주시,경기도,옳은휴식하루,음식점,1542
파주시,경기도,캠핑바베큐 워라벨,음식점,1534
파주시,경기도,금곡낚시터,수상 레포츠,1499
파주시,경기도,반구정과 황희선생유적지,역사관광지,1494
파주시,경기도,대성동 자유의 마을,역사관광지,1466
파주시,경기도,삼고집 파주점,음식점,1426
파주시,경기도,경기미래교육 파주캠퍼스,체험관광지,1412
파주시,경기도,공릉관광지캠핑장,육상 레포츠,1406
파주시,경기도,헤이리무장애노을숲길,휴양관광지,1403
파주시,경기도,평화랜드,휴양관광지,1350
파주시,경기도,임진각수풀누리,휴양관광지,1281
파주시,경기도,파주 DMZ 곤돌라,역사관광지,1272
파주시,경기도,수라한식뷔페,음식점,1261
파주시,경기도,재미있는 추억 박물관,문화시설,1255
파주시,경기도,자운서원,역사관광지,1243
파주시,경기도,봉일천종합시장,쇼핑,1238
파주시,경기도,통일동산 관광특구,휴양관광지,1234
파주시,경기도,반구정 나루터집,음식점,1221
파주시,경기도,마장리계곡,자연관광지,1218
파주시,경기도,황인용 뮤직 스페이스 <카메라타>,문화시설,1205
파주시,경기도,파주 장단콩마을,체험관광지,1201
파주시,경기도,탕수육,음식점,1168
파주시,경기도,오성골프클럽,육상 레포츠,1134
파주시,경기도,청도훼미리랜드,휴양관광지,1132
파주시,경기도,자유로레져 바다낚시터,수상 레포츠,1118
파주시,경기도,지혜의 숲,문화시설,1090
파주시,경기도,파주라기파크,문화시설,1079
파주시,경기도,도라산역,역사관광지,1068
파주시,경기도,뮌스터담,음식점,1015
파주시,경기도,네이처스파,휴양관광지,975
파주시,경기도,파주장단콩웰빙마루,휴양관광지,956
파주시,경기도,운정체육공원,휴양관광지,951
파주시,경기도,덕진산성,역사관광지,944
파주시,경기도,파주 DMZ 생태연구소,자연관광지,942
파주시,경기도,소령원,역사관광지,890
파주시,경기도,소령원숲속,음식점,888
파주시,경기도,파주쇠꼴마을고고캠핑장,육상 레포츠,874
파주시,경기도,광탄낚시레저타운,수상 레포츠,837
파주시,경기도,신세계사이먼 파주 프리미엄 아울렛,쇼핑,834
파주시,경기도,카페8794,음식점,832
파주시,경기도,나무그늘 아래 바베큐장,육상 레포츠,830
파주시,경기도,도라산 평화공원,역사관광지,819
파주시,경기도,하우스오브미나리마 해리포터 팝업스토어,쇼핑,814
파주시,경기도,영국군 설마리전투 추모공원,휴양관광지,809
파주시,경기도,가림시골밥상,음식점,805
파주시,경기도,초리 포레스트,육상 레포츠,804
파주시,경기도,파주놀이구름,체험관광지,787
파주시,경기도,명필름아트센터,문화시설,782
파주시,경기도,보광사계곡,자연관광지,778
파주시,경기도,느티나무그늘아래캠핑장,육상 레포츠,773
파주시,경기도,문산자유시장,쇼핑,750
파주시,경기도,심학산 산림공원,자연관광지,745
파주시,경기도,사파리 체험 테마파크,휴양관광지,742
파주시,경기도,박달산(파주),자연관광지,740
파주시,경기도,장산전망대,건축/조형물,727
파주시,경기도,교하스카이승마클럽,육상 레포츠,722
파주시,경기도,옛날시골밥상,음식점,715
파주시,경기도,파주 장릉(인조_인열왕후) [유네스코 세계유산],역사관광지,698
파주시,경기도,쇠꼴마을,체험관광지,693
파주시,경기도,용암사(파주),역사관광지,690
