순위,광역지자체명,기초지자체명,관광지명,기준연월,입장객수,입장객총계
1,경기도,파주시,임진각관광지,202307,90569,2248045.0
1,경기도,파주시,임진각관광지,202308,104978,2248045.0
1,경기도,파주시,임진각관광지,202309,125535,2248045.0
1,경기도,파주시,임진각관광지,202310,139362,2248045.0
1,경기도,파주시,임진각관광지,202311,79161,2248045.0
1,경기도,파주시,임진각관광지,202312,71187,2248045.0
1,경기도,파주시,임진각관광지,202401,69984,2248045.0
1,경기도,파주시,임진각관광지,202402,90705,2248045.0
1,경기도,파주시,임진각관광지,202403,129547,2248045.0
1,경기도,파주시,임진각관광지,202404,185151,2248045.0
1,경기도,파주시,임진각관광지,202405,174411,2248045.0
1,경기도,파주시,임진각관광지,202406,172944,2248045.0
1,경기도,파주시,임진각관광지,202407,126354,2248045.0
1,경기도,파주시,임진각관광지,202408,139133,2248045.0
1,경기도,파주시,임진각관광지,202409,161687,2248045.0
1,경기도,파주시,임진각관광지,202410,164975,2248045.0
1,경기도,파주시,임진각관광지,202411,130244,2248045.0
1,경기도,파주시,임진각관광지,202412,92118,2248045.0
2,경기도,파주시,헤이리예술마을,202307,40582,945774.0
2,경기도,파주시,헤이리예술마을,202308,50192,945774.0
2,경기도,파주시,헤이리예술마을,202309,126720,945774.0
2,경기도,파주시,헤이리예술마을,202310,31300,945774.0
2,경기도,파주시,헤이리예술마을,202311,20400,945774.0
2,경기도,파주시,헤이리예술마을,202312,15620,945774.0
2,경기도,파주시,헤이리예술마을,202401,23830,945774.0
2,경기도,파주시,헤이리예술마을,202402,33030,945774.0
2,경기도,파주시,헤이리예술마을,202403,26480,945774.0
2,경기도,파주시,헤이리예술마을,202404,33545,945774.0
2,경기도,파주시,헤이리예술마을,202405,34755,945774.0
2,경기도,파주시,헤이리예술마을,202406,38380,945774.0
2,경기도,파주시,헤이리예술마을,202407,60100,945774.0
2,경기도,파주시,헤이리예술마을,202408,67300,945774.0
2,경기도,파주시,헤이리예술마을,202409,68700,945774.0
2,경기도,파주시,헤이리예술마을,202410,164000,945774.0
2,경기도,파주시,헤이리예술마을,202411,60100,945774.0
2,경기도,파주시,헤이리예술마을,202412,50740,945774.0
3,경기도,파주시,제3땅굴,202307,38530,663402.0
3,경기도,파주시,제3땅굴,202308,35487,663402.0
3,경기도,파주시,제3땅굴,202309,37018,663402.0
3,경기도,파주시,제3땅굴,202310,43488,663402.0
3,경기도,파주시,제3땅굴,202311,37925,663402.0
3,경기도,파주시,제3땅굴,202312,28844,663402.0
3,경기도,파주시,제3땅굴,202401,18601,663402.0
3,경기도,파주시,제3땅굴,202402,18434,663402.0
3,경기도,파주시,제3땅굴,202403,46042,663402.0
3,경기도,파주시,제3땅굴,202404,47260,663402.0
3,경기도,파주시,제3땅굴,202405,49828,663402.0
3,경기도,파주시,제3땅굴,202406,49297,663402.0
3,경기도,파주시,제3땅굴,202407,26827,663402.0
